warehouse_code,warehouse_name,item_id,item_name,brand,category,source_type,current_stock,recommended_opening_qty,final_opening_qty,notes
WH-DM-1,Dammam Central Warehouse,25,كولا لايت COLA LIGHT,Onda|Ronaldos|Shawarma|Griddle,drinks / مشروبات drinks (19),WAREHOUSE,,100,100,LAN trial placeholder — beverage default. unit=PCS. Real stock from warehouse count.
WH-DM-1,Dammam Central Warehouse,13,7UP سفن اب,Onda|Ronaldos|Shawarma|Griddle,drinks / مشروبات drinks (19),WAREHOUSE,,100,100,LAN trial placeholder — beverage default. unit=PCS. Real stock from warehouse count.
WH-DM-1,Dammam Central Warehouse,76,ايسكريم افوجاتو Ice Cream Affogato,Onda,onda / ICE CREAM (2),WAREHOUSE,,50,50,LAN trial placeholder — finished kitchen default. unit=PCS. Real stock from warehouse count.
WH-DM-1,Dammam Central Warehouse,72,طقم ترشيح Filter Set,Onda,onda / EQUIPMENT (15),WAREHOUSE,,500,500,LAN trial placeholder — packaging/consumables default. unit=PCS. Real stock from warehouse count.
WH-DM-1,Dammam Central Warehouse,22,كولا COLA CAN,Onda|Ronaldos|Shawarma|Griddle,drinks / مشروبات drinks (19),WAREHOUSE,,100,100,LAN trial placeholder — beverage default. unit=PCS. Real stock from warehouse count.
WH-DM-1,Dammam Central Warehouse,14,بيبسي,Onda|Ronaldos|Shawarma|Griddle,drinks / مشروبات drinks (19),WAREHOUSE,,100,100,LAN trial placeholder — beverage default. unit=PCS. Real stock from warehouse count.
WH-DM-1,Dammam Central Warehouse,73,كوب سيراميك 320 مل ceramic cup,Onda,onda / EQUIPMENT (15),WAREHOUSE,,500,500,LAN trial placeholder — packaging/consumables default. unit=PCS. Real stock from warehouse count.
WH-DM-1,Dammam Central Warehouse,20,فانتا حمضياتFanta Citruse,Onda|Ronaldos|Shawarma|Griddle,drinks / مشروبات drinks (19),WAREHOUSE,,100,100,LAN trial placeholder — beverage default. unit=PCS. Real stock from warehouse count.
WH-DM-1,Dammam Central Warehouse,74,كوب سيراميك 420 ceramic cup,Onda,onda / EQUIPMENT (15),WAREHOUSE,,500,500,LAN trial placeholder — packaging/consumables default. unit=PCS. Real stock from warehouse count.
WH-DM-1,Dammam Central Warehouse,26,ماء water,Onda|Ronaldos|Shawarma|Griddle,drinks / مشروبات drinks (19),WAREHOUSE,,100,100,LAN trial placeholder — beverage default. unit=PCS. Real stock from warehouse count.
WH-DM-1,Dammam Central Warehouse,17,سبرايت SPRITE,Onda|Ronaldos|Shawarma|Griddle,drinks / مشروبات drinks (19),WAREHOUSE,,100,100,LAN trial placeholder — beverage default. unit=PCS. Real stock from warehouse count.
WH-DM-1,Dammam Central Warehouse,70,PLASTIC CUP 12 OZ,Onda,onda / EQUIPMENT (15),WAREHOUSE,,500,500,LAN trial placeholder — packaging/consumables default. unit=PCS. Real stock from warehouse count.
WH-DM-1,Dammam Central Warehouse,77,ايسكريم تشيز كيك Ice Cream Cheesecake,Onda,onda / ICE CREAM (2),WAREHOUSE,,50,50,LAN trial placeholder — finished kitchen default. unit=PCS. Real stock from warehouse count.
WH-DM-1,Dammam Central Warehouse,21,فانتا فراولةFanta Strawberry,Onda|Ronaldos|Shawarma|Griddle,drinks / مشروبات drinks (19),WAREHOUSE,,100,100,LAN trial placeholder — beverage default. unit=PCS. Real stock from warehouse count.
WH-DM-1,Dammam Central Warehouse,71,V 60 FILTER,Onda,onda / EQUIPMENT (15),WAREHOUSE,,500,500,LAN trial placeholder — packaging/consumables default. unit=PCS. Real stock from warehouse count.
WH-DM-1,Dammam Central Warehouse,27,ميرندا برتقال,Onda|Ronaldos|Shawarma|Griddle,drinks / مشروبات drinks (19),WAREHOUSE,,100,100,LAN trial placeholder — beverage default. unit=PCS. Real stock from warehouse count.
WH-DM-1,Dammam Central Warehouse,15,بيبسي دايت,Onda|Ronaldos|Shawarma|Griddle,drinks / مشروبات drinks (19),WAREHOUSE,,100,100,LAN trial placeholder — beverage default. unit=PCS. Real stock from warehouse count.
WH-DM-1,Dammam Central Warehouse,28,ميرندا حمضيات,Onda|Ronaldos|Shawarma|Griddle,drinks / مشروبات drinks (19),WAREHOUSE,,100,100,LAN trial placeholder — beverage default. unit=PCS. Real stock from warehouse count.
WH-DM-1,Dammam Central Warehouse,24,كولا قزاز Cola Glass,Onda|Ronaldos|Shawarma|Griddle,drinks / مشروبات drinks (19),WAREHOUSE,,100,100,LAN trial placeholder — beverage default. unit=PCS. Real stock from warehouse count.
WH-DM-1,Dammam Central Warehouse,23,كولا زيرو Cola Zero,Onda|Ronaldos|Shawarma|Griddle,drinks / مشروبات drinks (19),WAREHOUSE,,100,100,LAN trial placeholder — beverage default. unit=PCS. Real stock from warehouse count.
WH-DM-1,Dammam Central Warehouse,16,ديو DEW,Onda|Ronaldos|Shawarma|Griddle,drinks / مشروبات drinks (19),WAREHOUSE,,100,100,LAN trial placeholder — beverage default. unit=PCS. Real stock from warehouse count.
WH-DM-1,Dammam Central Warehouse,19,فانتا برتقالFanta Orange,Onda|Ronaldos|Shawarma|Griddle,drinks / مشروبات drinks (19),WAREHOUSE,,100,100,LAN trial placeholder — beverage default. unit=PCS. Real stock from warehouse count.
WH-DM-1,Dammam Central Warehouse,18,سفن اب دايت,Onda|Ronaldos|Shawarma|Griddle,drinks / مشروبات drinks (19),WAREHOUSE,,100,100,LAN trial placeholder — beverage default. unit=PCS. Real stock from warehouse count.
WH-DM-1,Dammam Central Warehouse,148,فرايز FRENCH FRIES,Ronaldos|Shawarma|Griddle,snack (20),WAREHOUSE,,50,50,LAN trial placeholder — finished kitchen default. unit=PCS. Real stock from warehouse count.
WH-DM-1,Dammam Central Warehouse,142,اضافة جبنة 2,Ronaldos|Shawarma|Griddle,snack (20),WAREHOUSE,,50,50,LAN trial placeholder — finished kitchen default. unit=PCS. Real stock from warehouse count.
WH-DM-1,Dammam Central Warehouse,144,علبة جبنة,Ronaldos|Shawarma|Griddle,snack (20),WAREHOUSE,,50,50,LAN trial placeholder — finished kitchen default. unit=PCS. Real stock from warehouse count.
WH-DM-1,Dammam Central Warehouse,141,اضافة جبنة,Ronaldos|Shawarma|Griddle,snack (20),WAREHOUSE,,50,50,LAN trial placeholder — finished kitchen default. unit=PCS. Real stock from warehouse count.
WH-DM-1,Dammam Central Warehouse,123,CHESSE - جبن,Shawarma,sauce / shawarma sauce (4),WAREHOUSE,,50,50,LAN trial placeholder — finished kitchen default. unit=PCS. Real stock from warehouse count.
