branch_id,branch_name_ar,branch_name_en,brand_code,city_code,city_name_ar,region_code,is_active,shifts_per_day,source_name,source_sheet,source_row,source_brand_value,notes
BR_DAMMAM_ONDA_01,,Onda 1 - ARKAN,ONDA,DAMMAM,الدمام,EASTERN,TRUE,2,الفروع النشطة 06-...2026.xlsx,الفروع النشطة,4,Onda,Arabic branch name unavailable in source; shift count pending review
BR_DAMMAM_ONDA_02,,Onda 14 - HASSA,ONDA,DAMMAM,الدمام,EASTERN,TRUE,2,الفروع النشطة 06-...2026.xlsx,الفروع النشطة,6,Onda,Arabic branch name unavailable in source; shift count pending review
BR_DAMMAM_ONDA_03,,Onda 16 - Najmah,ONDA,DAMMAM,الدمام,EASTERN,TRUE,1,الفروع النشطة 06-...2026.xlsx,الفروع النشطة,7,Onda,Arabic branch name unavailable in source; shift count pending review
BR_DAMMAM_ONDA_04,,Onda 18 - Al Midra Gym,ONDA,DAMMAM,الدمام,EASTERN,TRUE,1,الفروع النشطة 06-...2026.xlsx,الفروع النشطة,8,Onda,Arabic branch name unavailable in source; shift count pending review
BR_DAMMAM_ONDA_05,,Onda 5 - MUOWASAT,ONDA,DAMMAM,الدمام,EASTERN,TRUE,2,الفروع النشطة 06-...2026.xlsx,الفروع النشطة,10,Onda,Arabic branch name unavailable in source; shift count pending review
BR_DAMMAM_ONDA_06,,Onda 9 - Ras tanura,ONDA,DAMMAM,الدمام,EASTERN,TRUE,1,الفروع النشطة 06-...2026.xlsx,الفروع النشطة,11,Onda,Arabic branch name unavailable in source; shift count pending review
BR_DAMMAM_ONDA_07,,ONDA JOUMA,ONDA,DAMMAM,الدمام,EASTERN,TRUE,1,الفروع النشطة 06-...2026.xlsx,الفروع النشطة,13,ONDA,Arabic branch name unavailable in source; shift count pending review
BR_DAMMAM_RONALDOS_01,,Pizza 1 - AlKHOBAR,RONALDOS,DAMMAM,الدمام,EASTERN,TRUE,1,الفروع النشطة 06-...2026.xlsx,الفروع النشطة,14,Pizza,Arabic branch name unavailable in source; Pizza normalized to RONALDOS; shift count pending review
BR_DAMMAM_RONALDOS_02,,Pizza 15 - Ras Tanura,RONALDOS,DAMMAM,الدمام,EASTERN,TRUE,1,الفروع النشطة 06-...2026.xlsx,الفروع النشطة,16,Pizza,Arabic branch name unavailable in source; Pizza normalized to RONALDOS; shift count pending review
BR_DAMMAM_RONALDOS_03,,Pizza 3 - Arkan,RONALDOS,DAMMAM,الدمام,EASTERN,TRUE,1,الفروع النشطة 06-...2026.xlsx,الفروع النشطة,17,Pizza,Arabic branch name unavailable in source; Pizza normalized to RONALDOS; shift count pending review
BR_DAMMAM_RONALDOS_04,,Pizza 5 - ALULYA,RONALDOS,DAMMAM,الدمام,EASTERN,TRUE,1,الفروع النشطة 06-...2026.xlsx,الفروع النشطة,19,Pizza,Arabic branch name unavailable in source; Pizza normalized to RONALDOS; shift count pending review
BR_DAMMAM_RONALDOS_05,,Pizza 7 - Aramco,RONALDOS,DAMMAM,الدمام,EASTERN,TRUE,1,الفروع النشطة 06-...2026.xlsx,الفروع النشطة,21,Pizza,Arabic branch name unavailable in source; Pizza normalized to RONALDOS; shift count pending review
BR_DAMMAM_RONALDOS_06,,Pizza 9 - Al Azizia,RONALDOS,DAMMAM,الدمام,EASTERN,TRUE,1,الفروع النشطة 06-...2026.xlsx,الفروع النشطة,22,Pizza,Arabic branch name unavailable in source; Pizza normalized to RONALDOS; shift count pending review
BR_DAMMAM_SHAWARMA_01,,SHAWERMA - 1 - Khobar,SHAWARMA,DAMMAM,الدمام,EASTERN,TRUE,1,الفروع النشطة 06-...2026.xlsx,الفروع النشطة,24,SHAWERMA,Arabic branch name unavailable in source; SHAWERMA normalized to SHAWARMA; shift count pending review
BR_DAMMAM_SHAWARMA_02,,SHAWERMA - 4 - ARKAN,SHAWARMA,DAMMAM,الدمام,EASTERN,TRUE,1,الفروع النشطة 06-...2026.xlsx,الفروع النشطة,25,SHAWERMA,Arabic branch name unavailable in source; SHAWERMA normalized to SHAWARMA; shift count pending review
BR_DAMMAM_SHAWARMA_03,,SHAWERMA - OLAYA,SHAWARMA,DAMMAM,الدمام,EASTERN,TRUE,1,الفروع النشطة 06-...2026.xlsx,الفروع النشطة,26,SHAWERMA,Arabic branch name unavailable in source; SHAWERMA normalized to SHAWARMA; shift count pending review
BR_RIYADH_ONDA_01,,Onda 13 - Al Malqa,ONDA,RIYADH,الرياض,RIYADH,TRUE,2,الفروع النشطة 06-...2026.xlsx,الفروع النشطة,5,Onda,Arabic branch name unavailable in source; shift count pending review
BR_RIYADH_ONDA_02,,Onda 4 - SEFARAT,ONDA,RIYADH,الرياض,RIYADH,TRUE,2,الفروع النشطة 06-...2026.xlsx,الفروع النشطة,9,Onda,Arabic branch name unavailable in source; shift count pending review
BR_RIYADH_ONDA_03,,ONDA DAU University,ONDA,RIYADH,الرياض,RIYADH,TRUE,1,الفروع النشطة 06-...2026.xlsx,الفروع النشطة,12,ONDA,Arabic branch name unavailable in source; shift count pending review
BR_RIYADH_RONALDOS_01,,Pizza 10 - Mazaar,RONALDOS,RIYADH,الرياض,RIYADH,TRUE,1,الفروع النشطة 06-...2026.xlsx,الفروع النشطة,15,Pizza,Arabic branch name unavailable in source; Pizza normalized to RONALDOS; shift count pending review
BR_RIYADH_RONALDOS_02,,Pizza 4 - Riyadh Takhasosy,RONALDOS,RIYADH,الرياض,RIYADH,TRUE,1,الفروع النشطة 06-...2026.xlsx,الفروع النشطة,18,Pizza,Arabic branch name unavailable in source; Pizza normalized to RONALDOS; shift count pending review
BR_RIYADH_RONALDOS_03,,Pizza 6 - Riyadh Nada,RONALDOS,RIYADH,الرياض,RIYADH,TRUE,1,الفروع النشطة 06-...2026.xlsx,الفروع النشطة,20,Pizza,Arabic branch name unavailable in source; Pizza normalized to RONALDOS; shift count pending review
