shift_config_id,branch_id,shift_number,shift_name_ar,is_active,start_time,end_time,submission_deadline,source_confirmed,notes
SCFG_BR_DAMMAM_ONDA_01_1,BR_DAMMAM_ONDA_01,1,الشفت الأول,TRUE,,,,TRUE,عدد الشفتات معتمد؛ المواعيد غير معتمدة
SCFG_BR_DAMMAM_ONDA_01_2,BR_DAMMAM_ONDA_01,2,الشفت الثاني,TRUE,,,,TRUE,عدد الشفتات معتمد؛ المواعيد غير معتمدة
SCFG_BR_DAMMAM_ONDA_02_1,BR_DAMMAM_ONDA_02,1,الشفت الأول,TRUE,,,,TRUE,عدد الشفتات معتمد؛ المواعيد غير معتمدة
SCFG_BR_DAMMAM_ONDA_02_2,BR_DAMMAM_ONDA_02,2,الشفت الثاني,TRUE,,,,TRUE,عدد الشفتات معتمد؛ المواعيد غير معتمدة
SCFG_BR_DAMMAM_ONDA_03_1,BR_DAMMAM_ONDA_03,1,الشفت الأول,TRUE,,,,TRUE,عدد الشفتات معتمد؛ المواعيد غير معتمدة
SCFG_BR_DAMMAM_ONDA_04_1,BR_DAMMAM_ONDA_04,1,الشفت الأول,TRUE,,,,TRUE,عدد الشفتات معتمد؛ المواعيد غير معتمدة
SCFG_BR_DAMMAM_ONDA_05_1,BR_DAMMAM_ONDA_05,1,الشفت الأول,TRUE,,,,TRUE,عدد الشفتات معتمد؛ المواعيد غير معتمدة
SCFG_BR_DAMMAM_ONDA_05_2,BR_DAMMAM_ONDA_05,2,الشفت الثاني,TRUE,,,,TRUE,عدد الشفتات معتمد؛ المواعيد غير معتمدة
SCFG_BR_DAMMAM_ONDA_06_1,BR_DAMMAM_ONDA_06,1,الشفت الأول,TRUE,,,,TRUE,عدد الشفتات معتمد؛ المواعيد غير معتمدة
SCFG_BR_DAMMAM_ONDA_07_1,BR_DAMMAM_ONDA_07,1,الشفت الأول,TRUE,,,,TRUE,عدد الشفتات معتمد؛ المواعيد غير معتمدة
SCFG_BR_DAMMAM_RONALDOS_01_1,BR_DAMMAM_RONALDOS_01,1,الشفت الأول,TRUE,,,,TRUE,عدد الشفتات معتمد؛ المواعيد غير معتمدة
SCFG_BR_DAMMAM_RONALDOS_02_1,BR_DAMMAM_RONALDOS_02,1,الشفت الأول,TRUE,,,,TRUE,عدد الشفتات معتمد؛ المواعيد غير معتمدة
SCFG_BR_DAMMAM_RONALDOS_03_1,BR_DAMMAM_RONALDOS_03,1,الشفت الأول,TRUE,,,,TRUE,عدد الشفتات معتمد؛ المواعيد غير معتمدة
SCFG_BR_DAMMAM_RONALDOS_04_1,BR_DAMMAM_RONALDOS_04,1,الشفت الأول,TRUE,,,,TRUE,عدد الشفتات معتمد؛ المواعيد غير معتمدة
SCFG_BR_DAMMAM_RONALDOS_05_1,BR_DAMMAM_RONALDOS_05,1,الشفت الأول,TRUE,,,,TRUE,عدد الشفتات معتمد؛ المواعيد غير معتمدة
SCFG_BR_DAMMAM_RONALDOS_06_1,BR_DAMMAM_RONALDOS_06,1,الشفت الأول,TRUE,,,,TRUE,عدد الشفتات معتمد؛ المواعيد غير معتمدة
SCFG_BR_DAMMAM_SHAWARMA_01_1,BR_DAMMAM_SHAWARMA_01,1,الشفت الأول,TRUE,,,,TRUE,عدد الشفتات معتمد؛ المواعيد غير معتمدة
SCFG_BR_DAMMAM_SHAWARMA_02_1,BR_DAMMAM_SHAWARMA_02,1,الشفت الأول,TRUE,,,,TRUE,عدد الشفتات معتمد؛ المواعيد غير معتمدة
SCFG_BR_DAMMAM_SHAWARMA_03_1,BR_DAMMAM_SHAWARMA_03,1,الشفت الأول,TRUE,,,,TRUE,عدد الشفتات معتمد؛ المواعيد غير معتمدة
SCFG_BR_RIYADH_ONDA_01_1,BR_RIYADH_ONDA_01,1,الشفت الأول,TRUE,,,,TRUE,عدد الشفتات معتمد؛ المواعيد غير معتمدة
SCFG_BR_RIYADH_ONDA_01_2,BR_RIYADH_ONDA_01,2,الشفت الثاني,TRUE,,,,TRUE,عدد الشفتات معتمد؛ المواعيد غير معتمدة
SCFG_BR_RIYADH_ONDA_02_1,BR_RIYADH_ONDA_02,1,الشفت الأول,TRUE,,,,TRUE,عدد الشفتات معتمد؛ المواعيد غير معتمدة
SCFG_BR_RIYADH_ONDA_02_2,BR_RIYADH_ONDA_02,2,الشفت الثاني,TRUE,,,,TRUE,عدد الشفتات معتمد؛ المواعيد غير معتمدة
SCFG_BR_RIYADH_ONDA_03_1,BR_RIYADH_ONDA_03,1,الشفت الأول,TRUE,,,,TRUE,عدد الشفتات معتمد؛ المواعيد غير معتمدة
SCFG_BR_RIYADH_RONALDOS_01_1,BR_RIYADH_RONALDOS_01,1,الشفت الأول,TRUE,,,,TRUE,عدد الشفتات معتمد؛ المواعيد غير معتمدة
SCFG_BR_RIYADH_RONALDOS_02_1,BR_RIYADH_RONALDOS_02,1,الشفت الأول,TRUE,,,,TRUE,عدد الشفتات معتمد؛ المواعيد غير معتمدة
SCFG_BR_RIYADH_RONALDOS_03_1,BR_RIYADH_RONALDOS_03,1,الشفت الأول,TRUE,,,,TRUE,عدد الشفتات معتمد؛ المواعيد غير معتمدة
SCFG_BR_RIYADH_RONALDOS_04_1,BR_RIYADH_RONALDOS_04,1,الشفت الأول,TRUE,,,,TRUE,عدد الشفتات معتمد؛ المواعيد غير معتمدة
