brand,item_code,item_name,name_aliases,display_order,notes
ONDA,,TRH 996g,TRH|TRH 996,1,لم يُطابَق في ملف التصنيف
ONDA,,Costa Rica,Coffee Beans Costa Rica|Costa Rica,2,
ONDA,,Colombian 990g,Coffee Beans Colombian|Colombian,3,
ONDA,,Guatemala 990g,Coffee Beans Guatemala|Guatemala,4,
ONDA,,12 oz - paper,12 oz Cups paper|12 oz Cup paper,5,
ONDA,,12 oz - plastic,12 oz cup plastic|12 oz Cups plastic,6,
ONDA,,8 oz,8 oz Cups|8 oz Cup,7,
ONDA,,8 oz - lids,8 oz Lid|8 oz Lids,8,
ONDA,,6 oz,6 oz Cups|6 oz Cup,9,
ONDA,,6 oz - lids,6 oz Lid|6 oz Lids,10,
ONDA,,4 oz,4 oz Cups|4 oz Cup,11,
ONDA,,4 oz - lids,4 oz Lid|4 oz Lids,12,
ONDA,,Lemon cake,LEMON CAKE,13,
ONDA,,Cookies,COOKIE|COOKIES,14,لم يُطابَق
ONDA,,Brownies,BROWNIE|BROWNIES,15,
ONDA,,Brownies - zaatar,BROWNIE ZAATAR|ZAATAR BROWNIE,16,لم يُطابَق — مطابقة تلقائية أعطت BROWNIE وهي خاطئة
ONDA,,Cheese strawberry,CHEESE STRAWBERRY|STRAWBERRY CHEESE,17,لم يُطابَق — مطابقة تلقائية أعطت Straw وهي خاطئة
ONDA,,Cheese pecan,CHEESE PECAN|PECAN,18,لم يُطابَق
ONDA,,Tiramisu,Tiramisu|TIRAMISU,19,
ONDA,,Eclair,ECLAIR CHOCOLATE|ECLAIR,20,
ONDA,,Cheese croissant,CHEESE CROISSANT,21,
ONDA,,Zaatar croissant,ZAATAR CROISSANT,22,لم يُطابَق
ONDA,,Turkey croissant,TURKEY CROISSANT,23,
RONALDOS,,العجين,عجين|Dough|DOUGH,1,غير موجود في ملف التصنيف — صنف إنتاج
RONALDOS,,الدجاج,دجاج|Chicken|CHICKEN,2,غير موجود — صنف إنتاج
RONALDOS,,شرمب,شريمب|Shrimp|SHRIMP,3,غير موجود — صنف إنتاج
SHAWARMA,,سيخ دجاج,سيخ الدجاج|Chicken Skewer,1,غير موجود — صنف إنتاج
SHAWARMA,,سيخ لحم,سيخ اللحم|Meat Skewer|Beef Skewer,2,غير موجود — صنف إنتاج
