item_code,item_name_en,item_name_ar,active
ONDA-PRD-001,Onda Latte,أوندا لاتيه,True
ONDA-PRD-002,Spanish Latte,سبانش لاتيه,True
ONDA-PRD-003,Cappuccino,كابتشينو,True
ONDA-PRD-004,Americano,أمريكانو,True
ONDA-PRD-005,Flat White,فلات وايت,True
ONDA-PRD-006,Iced Latte,آيس لاتيه,True
ONDA-PRD-007,Iced Spanish Latte,آيس سبانش لاتيه,True
ONDA-PRD-008,Matcha Latte,ماتشا لاتيه,True
ONDA-PRD-009,Passion Fruit Mojito,موهيتو باشن فروت,True
ONDA-PRD-010,Butter Croissant,كروسان زبدة,True
ONDA-PRD-011,Chocolate Cookies,كوكيز شوكولاتة,True
ONDA-PRD-012,San Sebastian Cheesecake,تشيزكيك سان سيباستيان,True
ONDA-RAW-001,Onda House Blend Beans,حبوب قهوة أوندا بليند,True
ONDA-RAW-002,Ethiopian Coffee Beans,حبوب قهوة إثيوبية,True
ONDA-RAW-003,Full Fat Milk,حليب كامل الدسم,True
ONDA-RAW-004,Oat Milk,حليب شوفان,True
ONDA-RAW-005,Almond Milk,حليب لوز,True
ONDA-RAW-006,Vanilla Syrup,صوص فانيلا,True
ONDA-RAW-007,Caramel Syrup,صوص كراميل,True
ONDA-RAW-008,Hazelnut Syrup,صوص بندق,True
ONDA-RAW-009,hassan Sauce,صلصة حسان,True
ONDA-RAW-010,Matcha Powder,ماتشا بودرة,True
ONDA-RAW-011,Earl Grey Tea,شاي إيرل جراي,True
ONDA-RAW-012,White Sugar,سكر أبيض,True
ONDA-RAW-013,Hot Cups 12oz,أكواب ساخنة 12 أونص,True
ONDA-RAW-014,Cold Cups 16oz,أكواب باردة 16 أونص,True
ONDA-RAW-015,Cup Lids,أغطية أكواب,True
ONDA-RAW-016,Paper Straws,شفاطات ورقية,True
ONDA-RAW-017,Dessert Cups,أكواب حلى,True
SUPF-ONDA-007D7822F3,Face mask,Face mask,True
SUPF-ONDA-0146B42F94,Butter paper,Butter paper,True
SUPF-ONDA-020DBB8931,CHEESE CROISSANT,CHEESE CROISSANT,True
SUPF-ONDA-048ACEB471,كركديه,كركديه,True
SUPF-ONDA-06E1A2462F,Wiper,Wiper,True
