item_code,item_name_en,item_name_ar,active
ONDA-PRD-011,Chocolate Cookies,كوكيز شوكولاتة,True
ONDA-PRD-012,San Sebastian Cheesecake,تشيزكيك سان سيباستيان,True
SUPF-ONDA-020DBB8931,CHEESE CROISSANT,CHEESE CROISSANT,True
SUPF-ONDA-53ED2DA6AA,Cheesecake berry,Cheesecake berry,True
SUPF-ONDA-81814898B4,Double CHOCOLATE CAKE,Double CHOCOLATE CAKE,True
SUPF-ONDA-82FF7926B8,CHOCOLATE CHIP COOKIE,CHOCOLATE CHIP COOKIE,True
SUPF-ONDA-85C22FCBA4,LEMON CAKE,LEMON CAKE,True
SUPF-ONDA-8AE39A46B3,Cheese cream (for hot chocolate),Cheese cream (for hot chocolate),True
SUPF-ONDA-9348E260CA,Strawberry syrup,Strawberry syrup,True
SUPF-ONDA-C0443235C8,CHEESE CAKE,CHEESE CAKE,True
SUPF-ONDA-D933CCC32E,Cheesecake pekan,Cheesecake pekan,True
